Family,Group,Accession,Ducale
Stornello,Curti,1311,0
Strobardo,Curti,?,0
Surian,Curti,1297,0
Tagliapietra,Curti,1381,0
Tasca,Curti,1646,0
Terzi,Curti,1405,0
Thomado,Curti,1297,0
Tiepolo,Lunghi,1297,0
Tinto,Curti,?,0
Toderini,Curti,1694,0
Talonico,Curti,1297,0
Tonisto,Curti,?,0
Totulo,Curti,1297,0
Trasmondi,Curti,?,0
Travaionti,Curti,?,0
Trento,Curti,1777,0
Trevisan,Curti,1297,1
Tron,Curti,1297,1
Trunzane,Curti,?,0
Valaresso,Curti,1297,0
Valier,Curti,1297,0
Valmarana,Curti,1658,0
Valpetro,Curti,?,0
Vanaxel,Curti,1665,0
Vaneri,Curti,?,0
Varda Da Dio,Curti,?,0
Veglia,Curti,1297,0
Vendelin,Curti,1297,0
Vendramin,Curti,1381,1
Venier,Curti,1297,1
Ventolo,Curti,?,0
Donini,Curti,1667,0
Veri,Curti,1297,0
Vermo (dal),Curti,1388,0
Veronese,Curti,1704,0
Vetigrassi,Curti,1297,0
Vezzi,Curti,1716,0
Viani,Curti,1297,0
Vianol,Curti,1658,0
Viaro,Curti,1297,0
Vidal,Curti,1297,0
Vidor,Curti,1310,0
Vielmo,Curti,1297,0
Vitturi,Curti,1297,0
Vizzamano,Curti,1381,0
Volpe,Curti,1297,0
Widman,Curti,1646,0
Zaccaria,Curti,1381,0
Zacco,Curti,1653,0
Zaguri,Curti,1646,0
Zambelli,Curti,1685,0
Zanardi,Curti,1653,0
Zanasi,Curti,?,0
Zancani,Curti,1297,0
Zancaruol,Curti,1297,0
Zane,Lunghi,1297,0
Zantani,Curti,1297,0
Zapoani,Curti,?,0
Zara (da),Curti,1379,0
Zeno,Lunghi,1297,0
Zenobio,Curti,1647,0
Ziani,Curti,?,0
Zino,Curti,1718,0
Zolio,Curti,1656,0
Zon,Curti,1651,0
Zorbani,Curti,?,0
Zordani,Curti,?,0
Zorzi,Lunghi,1297,0
Zulian,Curti,1297,0
Zusto,Curti,1297,0
